project_id,project_name,start_date,end_date,project_manager,team_members,status,budget,expenditure,client
P0047,Cloud Migration,2024-02-22 20:26:27,2022-12-24 20:26:27,Frank,,Active,939444,371855,Client C
P0048,AI Software,2024-07-07 20:26:27,2023-10-27 20:26:27,Alice,,Completed,226169,186664,Client D
P0049,Data Warehouse,2024-05-24 20:26:27,,Bob,"Bob, Charlie, Frank",pennding,880413,78355,Client B
P0050,,2024-02-01 20:26:27,2022-08-25 20:26:27,Eve,,Cancelled,931271,128589,Client A
P0051,App Development,2024-04-01 20:26:27,2024-09-05 20:26:27,Bob,"Charlie, Alice, Frank",Completed,,,Client B
P0052,Data Warehouse,2024-04-26 20:26:27,,Charlie,"Alice, Eve, Bob",Cancelled,599651,197687,Client D
P0053,AI Software,2023-02-12 20:26:27,,Alice,Alice,Completed,218055,106429,Client C
P0054,IoT Automation,2024-05-17 20:26:27,,,Eve,Completed,,429398,Client A
P0055,Cloud Migration,2022-09-03 20:26:27,,Frank,"Frank, Charlie",Cancelled,707940,,Client A
P0056,App Development,2022-09-04 20:26:27,2023-11-16 20:26:27,Alice,"Frank, Charlie, Alice",Active,386402,568895,Client A
P0057,,2022-12-19 20:26:27,,Charlie,"Bob, Alice",pennding,837019,224432,Client B
P0058,Cloud Migration,2024-08-04 20:26:27,,David,"Charlie, David",Completed,166357,114506,Client A
P0059,AI Software,2024-04-22 20:26:27,2023-11-17 20:26:27,David,Alice,pennding,260741,806597,Client C
P0060,App Development,2022-08-21 20:26:27,2024-08-07 20:26:27,Alice,"Bob, Frank, Alice",Cancelled,516849,502168,Client D
P0061,Data Warehouse,2023-01-16 20:26:27,,Charlie,Alice,Active,131350,669511,Client D
P0062,IoT Automation,2023-06-03 20:26:27,,Bob,David,Active,,,Client A
P0063,App Development,2023-07-03 20:26:27,2023-05-01 20:26:27,Frank,"Charlie, Bob, David",Active,588323,,Client E
P0064,Data Warehouse,2022-09-09 20:26:27,2024-08-06 20:26:27,Eve,"Eve, Charlie, Bob",Cancelled,113913,606843,Client E
P0065,,2023-03-23 20:26:27,,Bob,Frank,Cancelled,146172,162239,Client C
P0066,Blockchain Integration,2022-09-03 20:26:27,,,Bob,Cancelled,-100000,323743,Client B
P0067,IoT Automation,2023-03-07 20:26:27,2022-09-08 20:26:27,Eve,Frank,Active,844385,,Client A
P0068,AI Software,2023-07-19 20:26:27,2023-10-22 20:26:27,Eve,Bob,Cancelled,602447,767696,Client C
P0069,AI Software,2022-11-23 20:26:27,,Charlie,,Pending,380268,,Client D
P0070,IoT Automation,2022-03-19 20:26:27,2022-09-14 20:26:27,Eve,Alice,Active,,794836,Client C
P0071,Blockchain Integration,2022-05-01 20:26:27,,David,,Active,297205,83956,Client A
P0072,Data Warehouse,2023-03-22 20:26:27,2022-05-08 20:26:27,Eve,"Alice, Bob",Cancelled,569750,180751,Client E
P0073,AI Software,2023-01-01 20:26:27,2024-03-16 20:26:27,Frank,,Cancelled,781765,,Client C
P0074,Blockchain Integration,2023-01-09 20:26:27,2024-05-30 20:26:27,Bob,"Alice, Frank",Active,,475239,Client E
P0075,AI Software,2023-01-20 20:26:27,2024-05-30 20:26:27,Frank,Alice,Pending,998627,641845,Client B
P0076,Cloud Migration,2023-11-25 20:26:27,,Frank,"Bob, Eve, Frank",Cancelled,837093,720919,Client D
P0077,DATA WAREHOUSE,2022-05-20 20:26:27,2023-07-04 20:26:27,Frank,,Active,342767,493745,Client E
P0078,Cloud Migration,2023-01-17 20:26:27,,Alice,"Charlie, Eve, Frank",Pending,878594,373233,Client C
P0079,IoT Automation,2023-12-02 20:26:27,,David,"Frank, Eve, Bob",Cancelled,,438904,Client D
P0080,Data Warehouse,2024-05-19 20:26:27,2024-01-18 20:26:27,Eve,Alice,Cancelled,727099,759957,Client D
P0081,Blockchain Integration,2023-07-28 20:26:27,,Frank,Eve,Cancelled,960581,414938,Client E
P0082,Data Warehouse,2024-08-12 20:26:27,2022-03-29 20:26:27,Eve,Charlie,Active,271856,,Client A
P0083,Data Warehouse,2023-06-28 20:26:27,2023-02-18 20:26:27,Alice,"Alice, Frank, Bob",Active,489307,308051,Client E
P0084,,2023-07-26 20:26:27,2023-02-27 20:26:27,Charlie,"David, Charlie, Bob",Completed,667035,161594,Client D
P0085,,2023-01-13 20:26:27,,Bob,Bob,Pending,870907,899438,Client A
P0086,Data Warehouse,2023-12-15 20:26:27,,Alice,"David, Bob",Active,526772,505275,Client A
P0087,IoT Automation,2022-07-28 20:26:27,2022-03-24 20:26:27,,"Alice, Charlie",pennding,521296,,Client E
P0088,IoT Automation,2024-01-13 20:26:27,2022-07-12 20:26:27,Bob,Eve,Pending,464314,,Client D
P0089,IoT Automation,2023-02-23 20:26:27,2022-08-19 20:26:27,Frank,"Frank, Charlie",Cancelled,254804,,Client B
P0090,AI Software,2024-08-24 20:26:27,,Eve,Alice,Pending,888171,871664,Client D
P0091,App Development,2023-10-26 20:26:27,2022-08-07 20:26:27,Charlie,David,Completed,808534,90611,Client A
P0092,IoT Automation,2023-05-20 20:26:27,2023-01-23 20:26:27,Alice,"Frank, Charlie, David",Completed,477832,895253,Client A
P0093,Blockchain Integration,2024-08-06 20:26:27,2024-07-03 20:26:27,,"Charlie, David",Cancelled,190644,881027,Client A
P0094,App Development,2023-12-08 20:26:27,2023-03-13 20:26:27,Frank,David,Completed,244327,,Client B
P0095,IoT Automation,2023-07-06 20:26:27,2024-04-28 20:26:27,Alice,"Bob, Alice",Pending,476091,468002,Client D
P0096,Blockchain Integration,2023-07-16 20:26:27,2024-05-22 20:26:27,Alice,"Frank, Alice",Active,572665,144351,Client C
P0097,Blockchain Integration,2024-09-12 20:26:27,2022-03-04 20:26:27,David,"Frank, Alice, Eve",Pending,813385,494392,Client A
P0098,Cloud Migration,2024-08-23 20:26:27,2022-10-29 20:26:27,Frank,"Frank, Eve",Active,144832,620816,Client A
P0099,Cloud Migration,2023-10-09 20:26:27,2023-07-06 20:26:27,Charlie,"Bob, Alice, Charlie",Cancelled,755425,,Client B
P0100,Data Warehouse,2022-06-22 20:26:27,,Frank,"Bob, Eve",Cancelled,458245,,Client C
P0101,IoT Automation,2024-01-01 20:26:27,2023-10-31 20:26:27,Frank,"Alice, Bob",Completed,972428,434034,Client C
P0102,IoT Automation,2024-08-03 20:26:27,2022-09-07 20:26:27,,"David, Charlie, Eve",Pending,992440,205327,Client C
P0103,App Development,2022-12-30 20:26:27,2024-07-26 20:26:27,Alice,"David, Charlie, Frank",Pending,246298,804757,Client C
P0104,Blockchain Integration,2022-05-20 20:26:27,2024-04-29 20:26:27,Alice,"David, Eve",Pending,930763,409366,Client B
P0105,IoT Automation,2022-05-29 20:26:27,2023-05-11 20:26:27,Charlie,"Alice, Frank",Cancelled,826888,,Client E
P0106,,2024-07-20 20:26:27,,Frank,"Bob, Frank",Pending,963442,,Client E
P0107,AI Software,2023-01-30 20:26:27,2024-10-23 20:26:27,David,,Cancelled,217314,478434,Client A
P0108,Blockchain Integration,2023-02-20 20:26:27,2023-08-05 20:26:27,Bob,David,Pending,670421,,Client D
P0109,AI Software,2023-05-20 20:26:27,2024-04-19 20:26:27,David,David,Pending,,,Client D
P0110,Data Warehouse,2023-09-23 20:26:27,2024-01-26 20:26:27,Eve,"Bob, Charlie",Active,104236,398273,Client C
P0111,Cloud Migration,2023-07-05 20:26:27,2024-09-10 20:26:27,Frank,Alice,pennding,677187,,Client C
P0112,Data Warehouse,2023-03-06 20:26:27,2022-08-28 20:26:27,Alice,"David, Frank, Bob",Completed,272702,,Client D
P0113,AI Software,2023-04-02 20:26:27,,Charlie,"David, Eve",Pending,817237,428662,Client E
P0114,Blockchain Integration,2022-08-02 20:26:27,2023-02-10 20:26:27,David,"Eve, Frank",Active,451167,338932,Client D
P0115,App Development,2022-09-25 20:26:27,2024-03-06 20:26:27,Eve,,Completed,441298,259185,Client C
P0116,IOT AUTOMATION,2022-04-17 20:26:27,2022-11-18 20:26:27,Eve,"Alice, David",Pending,935623,233480,Client B
P0117,Data Warehouse,2024-09-08 20:26:27,2023-10-30 20:26:27,Alice,,Pending,514146,256101,Client C
P0118,Blockchain Integration,2023-07-18 20:26:27,,Bob,,Pending,959162,,Client A
P0119,IoT Automation,2022-04-04 20:26:27,2023-07-18 20:26:27,Bob,"Charlie, Bob, David",Pending,-100000,240553,Client D
P0120,Cloud Migration,2022-07-14 20:26:27,2023-05-22 20:26:27,Eve,,Completed,527817,603776,Client B
P0121,Cloud Migration,2023-03-15 20:26:27,2022-04-22 20:26:27,David,Eve,Pending,211596,518524,Client B
P0122,IOT AUTOMATION,2022-12-23 20:26:27,2023-09-18 20:26:27,Eve,"Eve, Frank, David",Cancelled,775180,500347,Client A
P0123,Cloud Migration,2024-04-11 20:26:27,2022-09-02 20:26:27,Frank,Eve,Cancelled,974878,,Client C
P0124,Blockchain Integration,2023-11-26 20:26:27,2022-12-02 20:26:27,Alice,,Pending,889912,,Client C
P0125,Data Warehouse,2023-02-09 20:26:27,2023-05-20 20:26:27,Alice,"David, Eve, Charlie",Completed,100625,55732,Client E
P0126,Blockchain Integration,2023-06-21 20:26:27,2022-04-28 20:26:27,Bob,"Charlie, Alice",Completed,629018,753647,Client E
P0127,Blockchain Integration,2023-05-26 20:26:27,,Eve,,Completed,619257,864748,Client D
P0128,IoT Automation,2024-05-19 20:26:27,2023-01-16 20:26:27,Charlie,,pennding,175714,472135,Client D
P0129,App Development,2024-08-18 20:26:27,2024-06-02 20:26:27,Charlie,"Frank, Eve",Cancelled,421447,899206,Client B
P0130,App Development,2023-07-17 20:26:27,2024-10-05 20:26:27,David,,Pending,525847,510824,Client C
P0131,Data Warehouse,2024-07-07 20:26:27,2023-01-29 20:26:27,David,"David, Alice",Completed,319408,508725,Client D
P0132,IoT Automation,2022-07-13 20:26:27,2023-10-07 20:26:27,Frank,"David, Charlie",Active,201279,508027,Client B
P0133,App Development,2022-04-14 20:26:27,2023-12-16 20:26:27,Bob,,pennding,300284,132767,Client B
P0134,Cloud Migration,2022-06-16 20:26:27,2023-09-06 20:26:27,Alice,Frank,Pending,,117187,Client B
P0135,App Development,2023-11-04 20:26:27,,Charlie,Frank,Completed,,194936,Client A
P0136,Cloud Migration,2022-10-20 20:26:27,,Frank,,Active,294735,548077,Client E
P0137,Data Warehouse,2024-07-26 20:26:27,2022-10-17 20:26:27,Charlie,"Bob, Alice",Pending,813536,,Client A
P0138,Blockchain Integration,2023-05-23 20:26:27,2023-04-05 20:26:27,Charlie,David,Pending,,,Client C
P0139,Blockchain Integration,2022-12-29 20:26:27,2024-04-07 20:26:27,Frank,"Eve, Frank",Cancelled,224731,484953,Client B
P0140,App Development,2024-04-27 20:26:27,,Charlie,"Alice, David",Cancelled,474880,375689,Client B
P0141,Cloud Migration,2024-09-10 20:26:27,2022-12-25 20:26:27,Bob,"David, Eve",Completed,-100000,707286,Client C
P0142,AI Software,2024-02-10 20:26:27,2023-06-26 20:26:27,Eve,"Alice, David, Frank",Pending,414798,841775,Client D
P0143,AI Software,2022-10-27 20:26:27,,Charlie,Charlie,Completed,493127,,Client A
P0144,AI Software,2023-07-30 20:26:27,2023-07-14 20:26:27,Alice,"Charlie, Bob, Frank",Pending,549339,518641,Client C
P0145,Blockchain Integration,2023-07-29 20:26:27,,Frank,"Bob, David",Pending,-100000,748914,Client D
P0146,IoT Automation,2023-05-03 20:26:27,2022-03-11 20:26:27,Charlie,Eve,Cancelled,722158,314573,Client C
P0147,,2023-05-04 20:26:27,,David,"Alice, Charlie",pennding,,,Client D
P0148,IoT Automation,2023-02-04 20:26:27,2022-11-03 20:26:27,Alice,"Bob, Eve",pennding,133049,325454,Client D
P0149,Cloud Migration,2024-05-11 20:26:27,,Eve,Frank,Cancelled,468571,620297,Client C
P0150,App Development,2023-10-14 20:26:27,2023-08-11 20:26:27,Charlie,,Completed,,628850,Client E
P0151,,2023-10-05 20:26:27,2023-06-05 20:26:27,Bob,Eve,Cancelled,-100000,,Client C
P0152,Cloud Migration,2022-03-26 20:26:27,2023-07-21 20:26:27,Bob,"David, Bob",pennding,665200,844073,Client C
P0153,Cloud Migration,2024-01-05 20:26:27,,Charlie,Frank,Active,543234,791875,Client C
P0154,App Development,2023-09-20 20:26:27,2023-08-14 20:26:27,David,"Charlie, David, Frank",Active,750360,332650,Client E
P0155,Cloud Migration,2023-08-29 20:26:27,2024-01-17 20:26:27,Frank,"Charlie, Eve",Pending,818115,380350,Client B
P0156,App Development,2022-08-19 20:26:27,,Bob,"Eve, Bob, Alice",Completed,128655,792107,Client E
P0157,Data Warehouse,2023-11-09 20:26:27,2024-10-27 20:26:27,Alice,"Bob, Eve, David",Pending,611126,,Client D
P0158,,2022-11-25 20:26:27,2023-01-26 20:26:27,Frank,"David, Charlie, Frank",Completed,191046,94351,Client C
P0159,AI Software,2023-02-16 20:26:27,,David,"Frank, Alice, Bob",Completed,670147,688424,Client B
P0160,IoT Automation,2024-08-28 20:26:27,2022-04-12 20:26:27,Eve,Bob,Completed,,897073,Client A
P0161,IoT Automation,2022-08-04 20:26:27,2024-03-15 20:26:27,Frank,,pennding,-100000,727992,Client B
P0162,AI Software,2023-01-13 20:26:27,2023-05-04 20:26:27,Eve,Frank,Active,198572,571043,Client E
P0163,IoT Automation,2022-12-28 20:26:27,,Frank,"Charlie, Frank",Completed,885438,464187,Client B
P0164,App Development,2023-11-13 20:26:27,2022-03-14 20:26:27,Frank,,Pending,732929,,Client C
P0165,Data Warehouse,2024-08-14 20:26:27,2022-08-26 20:26:27,Bob,Alice,Cancelled,136010,719915,Client A
P0166,IoT Automation,2023-11-18 20:26:27,2024-05-15 20:26:27,David,Bob,Cancelled,679470,118281,Client D
P0167,Data Warehouse,2024-07-16 20:26:27,,Bob,"David, Frank",Active,996157,668992,Client A
P0168,AI Software,2023-03-29 20:26:27,2023-10-11 20:26:27,Eve,"David, Alice",pennding,743529,176120,Client B
P0169,Data Warehouse,2022-11-26 20:26:27,,Bob,,pennding,110793,450788,Client C
P0170,Cloud Migration,2023-09-21 20:26:27,2024-05-01 20:26:27,David,"Frank, Eve",Pending,722255,836334,Client C
P0171,Blockchain Integration,2024-01-04 20:26:27,2023-09-07 20:26:27,Charlie,Frank,Active,918764,480846,Client C
P0172,Cloud Migration,2024-02-05 20:26:27,2022-11-29 20:26:27,Eve,Alice,Cancelled,,154413,Client B
P0173,,2022-10-10 20:26:27,2024-02-08 20:26:27,Charlie,Charlie,Active,172456,558512,Client A
P0174,IoT Automation,2022-06-01 20:26:27,2022-08-14 20:26:27,David,David,Pending,585679,101489,Client B
P0175,IoT Automation,2022-12-18 20:26:27,2023-04-08 20:26:27,Eve,"Frank, Alice, David",Active,692497,648755,Client E
P0176,Data Warehouse,2022-04-06 20:26:27,,bob,"Bob, Frank, Alice",Pending,661683,294631,Client A
P0177,App Development,2023-02-11 20:26:27,2024-05-12 20:26:27,Bob,"Alice, Eve, Charlie",Active,151081,,Client A
P0178,Blockchain Integration,2022-05-10 20:26:27,2024-05-02 20:26:27,Frank,Bob,pennding,223384,241905,Client B
P0179,App Development,2024-05-20 20:26:27,2024-02-25 20:26:27,Bob,"Charlie, Eve",Cancelled,614954,772347,Client D
P0180,AI Software,2023-11-14 20:26:27,2023-07-07 20:26:27,Eve,"Frank, Bob, David",Completed,573668,752264,Client B
P0181,IoT Automation,2024-07-29 20:26:27,2023-02-04 20:26:27,Eve,Bob,Completed,270651,,Client B
P0182,Data Warehouse,2023-03-04 20:26:27,2023-10-19 20:26:27,Frank,"David, Frank",Pending,,169473,Client A
P0183,IoT Automation,2022-12-11 20:26:27,2023-03-29 20:26:27,Bob,"Alice, David, Charlie",Completed,547460,517736,Client A
P0184,App Development,2024-05-29 20:26:27,,Bob,Charlie,Completed,262315,120249,Client D
P0185,App Development,2022-03-27 20:26:27,2023-08-09 20:26:27,Charlie,"Frank, Bob",Completed,180552,326943,Client B
P0186,Blockchain Integration,2023-10-28 20:26:27,2022-08-09 20:26:27,Frank,Charlie,Cancelled,609867,501712,Client B
P0187,Blockchain Integration,2023-12-08 20:26:27,2022-08-23 20:26:27,Frank,,Completed,506117,742398,Client D
P0188,Data Warehouse,2022-12-19 20:26:27,2023-03-01 20:26:27,eve,"Alice, Frank, Bob",Active,945993,274754,Client D
P0189,Blockchain Integration,2022-11-05 20:26:27,2023-01-01 20:26:27,Bob,"Charlie, Frank",Pending,285211,590615,Client B
P0190,App Development,2022-12-12 20:26:27,,David,"Alice, Eve, Bob",Pending,146005,616808,Client D
P0191,App Development,2023-09-15 20:26:27,,Bob,"Alice, David",Active,334275,160825,Client C
P0192,AI Software,2024-06-10 20:26:27,2024-05-16 20:26:27,Frank,"Charlie, Alice",Completed,816212,,Client E
P0193,App Development,2023-02-19 20:26:27,2024-06-28 20:26:27,Eve,Charlie,Active,617316,,Client E
P0194,Data Warehouse,2022-10-26 20:26:27,2023-09-18 20:26:27,Bob,David,Completed,566266,,Client B
P0195,Cloud Migration,2022-03-05 20:26:27,2023-04-11 20:26:27,Charlie,"David, Alice, Charlie",Pending,221728,711467,Client E
P0196,AI Software,2024-07-26 20:26:27,,Alice,"David, Frank",Active,245967,708264,Client C
P0197,AI Software,2023-12-08 20:26:27,2023-05-19 20:26:27,Eve,"Frank, David",pennding,734604,622257,Client E
P0198,Data Warehouse,2023-03-28 20:26:27,2023-01-29 20:26:27,Eve,Bob,Completed,559378,888007,Client C
P0199,Data Warehouse,2023-10-01 20:26:27,2024-05-26 20:26:27,Frank,"Alice, Charlie, David",Completed,932923,,Client C
P0200,Blockchain Integration,2023-01-01 20:26:27,2023-07-07 20:26:27,Alice,"Frank, Charlie, David",Cancelled,121535,785908,Client E
P0201,AI Software,2022-08-02 20:26:27,,Bob,Frank,Cancelled,827514,649326,Client C
P0202,Blockchain Integration,2023-11-19 20:26:27,2023-08-16 20:26:27,Charlie,"David, Bob, Alice",Active,669884,578961,Client B
P0203,APP DEVELOPMENT,2022-07-11 20:26:27,2022-06-17 20:26:27,Bob,"Charlie, Frank, Alice",pennding,596666,867930,Client B
P0204,AI Software,2024-06-12 20:26:27,,Frank,Eve,pennding,,203727,Client E
P0205,AI Software,2022-12-04 20:26:27,2024-05-04 20:26:27,Alice,"Bob, Eve, David",Active,836150,137556,Client C
P0206,IoT Automation,2022-11-01 20:26:27,2022-03-09 20:26:27,Charlie,,Completed,-100000,73501,Client B
P0207,Cloud Migration,2022-06-25 20:26:27,2023-01-21 20:26:27,David,Charlie,Cancelled,,613611,Client C
P0208,AI Software,2022-02-24 20:26:27,2022-12-19 20:26:27,David,"Charlie, Frank, Bob",Active,796990,,Client B
P0209,App Development,2022-09-25 20:26:27,2022-11-23 20:26:27,Charlie,,Cancelled,520821,743618,Client C
P0210,Blockchain Integration,2022-11-19 20:26:27,2023-07-08 20:26:27,David,"David, Eve",Active,355047,124039,Client A
P0211,Blockchain Integration,2022-03-31 20:26:27,,Frank,Eve,Cancelled,244207,468383,Client D
P0212,IoT Automation,2023-04-30 20:26:27,2022-08-28 20:26:27,Frank,,Completed,269864,368886,Client A
P0213,Cloud Migration,2024-07-17 20:26:27,2024-01-25 20:26:27,Frank,"Bob, Alice, David",Active,,218523,Client E
P0214,App Development,2022-12-29 20:26:27,,Charlie,"Charlie, Bob, Alice",Completed,306063,523213,Client C
P0215,Blockchain Integration,2022-12-04 20:26:27,2024-01-29 20:26:27,Bob,Eve,Cancelled,672437,423346,Client D
P0216,Data Warehouse,2023-08-14 20:26:27,,Bob,"Eve, David, Frank",Pending,375782,823267,Client C
P0217,App Development,2023-05-19 20:26:27,2022-10-21 20:26:27,Alice,"Alice, Bob",Active,928373,648828,Client E
P0218,App Development,2023-10-16 20:26:27,2023-07-01 20:26:27,Bob,Charlie,Cancelled,710397,581468,Client A
P0219,Cloud Migration,2024-10-02 20:26:27,2024-07-27 20:26:27,Bob,"David, Bob",Active,686852,62094,Client D
P0220,Blockchain Integration,2023-10-15 20:26:27,2024-02-19 20:26:27,,Eve,Cancelled,,114712,Client A
P0221,App Development,2023-12-09 20:26:27,2022-07-30 20:26:27,Eve,"Frank, Bob",pennding,414932,322106,Client A
P0222,,2024-04-19 20:26:27,2023-05-14 20:26:27,Eve,"Bob, Alice",Cancelled,-100000,489130,Client C
P0223,IoT Automation,2024-03-15 20:26:27,2024-10-08 20:26:27,Charlie,"Bob, Eve",Active,489921,,Client A
P0224,Blockchain Integration,2023-11-06 20:26:27,2023-08-26 20:26:27,Eve,Charlie,Pending,,238565,Client E
P0225,IoT Automation,2022-02-23 20:26:27,2023-09-11 20:26:27,,"David, Alice, Eve",Cancelled,218229,448720,Client A
P0226,Data Warehouse,2022-08-28 20:26:27,,Eve,"Frank, David",Pending,378803,,Client C
P0227,Cloud Migration,2023-06-11 20:26:27,2022-10-12 20:26:27,Bob,"David, Frank, Charlie",Cancelled,109287,145948,Client C
P0228,IoT Automation,2024-04-07 20:26:27,,Eve,,Completed,950879,750431,Client E
P0229,IoT Automation,2024-03-03 20:26:27,2023-08-17 20:26:27,Bob,Charlie,Pending,355512,,Client A
P0230,Data Warehouse,2024-06-02 20:26:27,2022-06-21 20:26:27,Bob,"Charlie, Eve",Cancelled,940145,573957,Client C
P0231,Cloud Migration,2024-05-15 20:26:27,2023-08-28 20:26:27,Frank,"Frank, Alice, Eve",Pending,796292,669110,Client D
P0232,App Development,2024-08-02 20:26:27,2024-07-22 20:26:27,,"David, Charlie, Frank",Pending,601989,223381,Client D
P0233,Cloud Migration,2023-12-23 20:26:27,,Charlie,Eve,Pending,280793,494045,Client C
P0234,AI Software,2022-06-09 20:26:27,2022-10-26 20:26:27,Alice,,Completed,-100000,579202,Client C
P0235,Blockchain Integration,2022-08-05 20:26:27,2023-11-26 20:26:27,Frank,Eve,Pending,942918,,Client D
P0236,Blockchain Integration,2024-07-09 20:26:27,2023-03-06 20:26:27,David,"David, Bob",pennding,,656701,Client B
P0237,AI Software,2023-05-20 20:26:27,2024-06-03 20:26:27,Bob,,Pending,999516,,Client C
P0238,Data Warehouse,2022-08-23 20:26:27,2022-09-08 20:26:27,Eve,"Bob, Charlie",Cancelled,897460,550313,Client B
P0239,AI Software,2023-04-17 20:26:27,,Eve,Bob,pennding,,102455,Client C
P0240,App Development,2022-06-18 20:26:27,2023-04-16 20:26:27,David,"Frank, Charlie",Completed,176116,,Client B
P0241,App Development,2022-09-25 20:26:27,,Frank,"Charlie, Eve",Cancelled,359069,,Client C
